display_year,survey_id,region,sex,sample_size,effort,bin,count
2013/14,onboard,All,F,,,130,4.866180049
2013/14,onboard,All,F,,,131,2.433090024
2013/14,onboard,All,F,,,132,0
2013/14,onboard,All,F,,,133,2.433090024
2013/14,onboard,All,F,,,134,2.433090024
2013/14,onboard,All,F,,,135,0
2013/14,onboard,All,F,,,136,0
2013/14,onboard,All,F,,,137,0
2013/14,onboard,All,F,,,138,0
2013/14,onboard,All,F,,,139,0
2013/14,onboard,All,F,,,140,0
2013/14,onboard,All,F,,,141,0
2013/14,onboard,All,F,,,142,0
2013/14,onboard,All,F,,,143,0
2013/14,onboard,All,F,,,144,0
2013/14,onboard,All,F,,,145,0
2013/14,onboard,All,F,,,146,2.433090024
2013/14,onboard,All,F,,,147,0
2013/14,onboard,All,F,,,148,2.433090024
2013/14,onboard,All,F,,,149,0
2013/14,onboard,All,F,,,150,0
2013/14,onboard,All,F,,,151,0
2013/14,onboard,All,F,,,152,0
2013/14,onboard,All,F,,,153,0
2013/14,onboard,All,F,,,154,0
2013/14,onboard,All,F,,,155,0
2013/14,onboard,All,F,,,156,0
2013/14,onboard,All,F,,,157,0
2013/14,onboard,All,F,,,158,0
2013/14,onboard,All,F,,,159,0
2013/14,onboard,All,F,,,160,0
2013/14,onboard,All,F,,,161,0
2013/14,onboard,All,F,,,162,0
2013/14,onboard,All,F,,,163,0
2013/14,onboard,All,F,,,164,0
2013/14,onboard,All,F,,,165,0
2013/14,onboard,All,F,,,166,0
2013/14,onboard,All,F,,,167,0
2013/14,onboard,All,F,,,168,0
2013/14,onboard,All,F,,,169,0
2013/14,onboard,All,F,,,170,0
2013/14,onboard,All,F,,,171,0
2013/14,onboard,All,F,,,172,0
2013/14,onboard,All,F,,,173,0
2013/14,onboard,All,F,,,174,0
2013/14,onboard,All,F,,,175,0
2013/14,onboard,All,F,,,176,0
2013/14,onboard,All,F,,,177,0
2013/14,onboard,All,F,,,178,0
2013/14,onboard,All,F,,,179,0
2013/14,onboard,All,F,,,180,0
2013/14,onboard,All,F,,,181,0
2013/14,onboard,All,F,,,182,0
2013/14,onboard,All,F,,,183,0
2013/14,onboard,All,F,,,184,0
2013/14,onboard,All,F,,,185,0
2013/14,onboard,All,F,,,186,0
2013/14,onboard,All,F,,,187,0
2013/14,onboard,All,F,,,188,0
2013/14,onboard,All,F,,,189,0
2013/14,onboard,All,F,,,190,0
2013/14,onboard,All,F,,,191,0
2013/14,onboard,All,F,,,192,0
2013/14,onboard,All,F,,,193,0
2013/14,onboard,All,F,,,194,0
2013/14,onboard,All,F,,,195,0
2013/14,onboard,All,F,,,196,0
2013/14,onboard,All,F,,,197,0
2013/14,onboard,All,F,,,198,0
2013/14,onboard,All,F,,,199,0
2013/14,onboard,All,F,,,200,0
2013/14,onboard,All,F,,,201,0
2013/14,onboard,All,F,,,202,0
2013/14,onboard,All,F,,,203,0
2013/14,onboard,All,F,,,204,0
2013/14,onboard,All,F,,,205,0
2013/14,onboard,All,F,,,206,0
2013/14,onboard,All,F,,,207,0
2013/14,onboard,All,F,,,208,0
2013/14,onboard,All,F,,,209,0
2013/14,onboard,All,F,,,210,0
2014/15,onboard,All,F,,,40,0
2014/15,onboard,All,F,,,41,0
2014/15,onboard,All,F,,,42,0
2014/15,onboard,All,F,,,43,0
2014/15,onboard,All,F,,,44,0
2014/15,onboard,All,F,,,45,0
2014/15,onboard,All,F,,,46,0
2014/15,onboard,All,F,,,47,0
2014/15,onboard,All,F,,,48,0
2014/15,onboard,All,F,,,49,0
2014/15,onboard,All,F,,,50,0
